Name,City,Latitude,Longitude,Address,Rating,SchoolType
KIPP Iluminar Academy,Los Angeles,34.040291,-118.161385,90022,10,charter
Eunice Sato Academy Of Math & Science,Long Beach,33.780125,-118.105247,90815,10,public
Elevate Elementary,San Diego,32.786289,-117.144341,92123,10,charter
Pacific Trails Middle,Encinitas,32.958225,-117.186424,92130,10,public
Petaluma Accelerated Charter,Petaluma,38.244114,-122.633751,94952,10,charter
KIPP Raices Academy,Los Angeles,34.023006,-118.156219,90022,10,charter
Del Norte High School,San Diego,33.014809,-117.122063,92127,10,public
Mission Vista High School,Vista,33.256004,-117.264168,92057,10,public
Stockton Unified Early College Academy,Stockton,37.966946,-121.289459,95202,10,charter
University Preparatory High School,Visalia,36.322945,-119.314552,93277,10,charter
Yorba Linda High School,Placentia,33.898556,-117.789101,92886,10,public
Da Vinci Science School,El Segundo,33.917774,-118.383987,90245,10,charter
La Canada High School,La Canada,34.193062,-118.179131,91011,10,public
Western Center Academy,Hemet,33.705467,-116.992287,92545,10,charter
Gant Elementary School,Long Beach,33.790131,-118.118988,90815,10,public
Kettering Elementary School,Long Beach,33.772846,-118.105972,90803,10,public
California Academy Of Mathematics And Science,Long Beach,33.863968,-118.257004,90747,10,public
Creekside Elementary School,San Diego,32.944256,-117.07637,92128,9,public
Aviara Oaks Middle School,Carlsbad,33.103992,-117.277161,92011,9,public
Elkhorn School,Lodi,38.06916,-121.333374,95209,9,public
Charter School Of Morgan Hill,Morgan Hill,37.198555,-121.720718,95037,9,charter
Austin Creek Elementary School,Santa Rosa,38.465313,-122.637573,95409,9,public
Marysville Charter Academy For The Arts,Marysville,39.156494,-121.58831,95901,9,charter
Downtown Elementary School,Bakersfield,35.377361,-119.015877,93314,9,public
Tesoro High School,San Juan Capistrano,33.581936,-117.612541,92688,9,public
Rocklin Academy,Rocklin,38.802933,-121.28727,95765,9,charter
Nuview Bridge Early College High School,Nuevo,33.821533,-117.131142,92567,9,charter
Science Academy STEM Magnet,Los Angeles,34.170982,-118.371582,91601,10,public
California School Of The Arts - San Gabriel Valley,Duarte,34.136509,-117.968468,91010,10,charter
Oxford Academy,Anaheim,33.823738,-118.042343,90630,10,public
Troy High School,Fullerton,33.880791,-117.894325,92831,10,public
Fulton (Harry C.) Middle School,Fountain Valley,33.705379,-117.975922,92708,10,public
Ethan B. Allen Elementary School,Garden Grove,33.728195,-117.962418,92708,10,public
Hilton D. Bell Intermediate School,Garden Grove,33.783314,-118.02227,92845,10,public
Francis Hopkinson Elementary School,Los Alamitos,33.780449,-118.086884,90720,10,public
Richard Henry Lee Elementary School,Los Alamitos,33.796207,-118.082321,90720,10,public
Acalanes High School,Lafayette,37.903835,-122.09684,94549,10,public
John L. Golden Elementary School,Etiwanda,34.143864,-117.533623,91739,9,public
Grove School,Redlands,34.054096,-117.2174,92373,9,charter
Literacy First Charter School,San Diego,32.787121,-116.952011,92020,9,charter
Heritage Elementary School,Chula Vista,32.62645,-116.996651,91913,9,public
Scripps Elementary School,San Diego,32.930462,-117.082214,92131,9,public
The High School At Moorpark College,Moorpark,34.299614,-118.83419,93021,9,public
Riverview Elementary School,Clovis,36.880722,-119.737671,93730,9,public
Pantera Elementary School,Pomona,34.010876,-117.790977,91765,9,public
Los Osos High School,Ontario,34.145283,-117.555489,91737,9,public
Torrey Hills School,San Diego,32.914482,-117.223289,92130,9,public
Grossmont Middle College High School,El Cajon,32.816494,-117.006302,92020,9,public
Evergreen Valley High School,San Jose,37.322941,-121.778961,95148,9,public
Anderson New Technology High School,Anderson,40.452175,-122.300392,96007,9,charter
Connections Visual And Performing Arts Academy,Tuolumne,37.961437,-120.255325,95379,9,charter
Pico Canyon Elementary School,Valencia,34.381966,-118.578682,91381,9,public
Rio Norte Junior High School,Santa Clarita,34.460102,-118.558571,91354,9,public
High Tech La School,Lake Balboa,34.18726,-118.506195,91406,9,charter
Oak Meadow Elementary School,El Dorado Hills,38.664696,-121.058838,95762,9,public
KIPP Los Angeles College Preparatory School,Los Angeles,34.031239,-118.209442,90023,9,charter
Ladera Ranch Middle School,San Juan Capistrano,33.553646,-117.637245,92694,9,public
Oak Grove Elementary School,Visalia,36.348366,-119.340385,93291,9,public
Wilder's Preparatory Academy Charter,Inglewood,33.97438,-118.357292,90302,9,charter
Covington Elementary School,Los Altos,37.37149,-122.107071,94024,9,public
Sandra J. Gallardo Elementary School,Rancho Cordova,38.652916,-121.159897,95630,9,public
Middle College High School,Los Angeles,33.926613,-118.30838,90047,9,public
Scripps Ranch High School,San Diego,32.908188,-117.112503,92131,10,public
Carmel Creek Elementary School,Solana Beach,32.951405,-117.225449,92130,10,public
Solana Vista Elementary School,Solana Beach,33.003777,-117.250618,92075,10,public
Lowell High School,San Francisco,37.73069,-122.483078,94132,10,public
Las Lomitas Elementary School,Menlo Park,37.438381,-122.212563,94027,10,public
Oak Park High School,Oak Park,34.179718,-118.765709,91377,10,public
Edison Computech School,Fresno,36.716446,-119.804993,93706,10,public
Manchester Gate,Fresno,36.787823,-119.78241,93726,10,public
Francisco Bravo Medical Magnet High School,Los Angeles,34.05761,-118.203224,90089,10,public
Alameda High School,Alameda,37.76421,-122.24704,94501,9,public
Lincoln Middle School,Alameda,37.752831,-122.231895,94501,9,public
Jacoby Creek Charter School,Bayside,40.846588,-124.068336,95524,9,public
Warm Springs Elementary School,Fremont,37.482643,-121.923492,94539,9,public
L.A. County High School For The Arts,Downey,34.066326,-118.168457,90032,9,public
Richmond Street Elementary School,El Segundo,33.924351,-118.417458,90245,9,public
Santa Monica Alternative (K-8) School,Santa Monica,34.005222,-118.481171,90405,9,public
San Jose Charter Academy,West Covina,34.06237,-117.959679,91790,9,charter
Beechwood Elementary School,Fullerton,33.901161,-117.91497,92835,9,public
Huntington Seacliff Elementary School,Huntington Beach,33.687157,-118.011658,92648,9,public
Eastbluff Elementary School,Costa Mesa,33.64146,-117.880157,92660,9,public
Northwood High School,Irvine,33.729424,-117.751343,92620,9,public
Arroyo Vista Charter School,Chula Vista,32.638126,-116.952522,91915,9,charter
Mountain Valley Academy,Ramona,33.026249,-116.877533,92065,9,public
Mt. Everest Academy,San Diego,32.819874,-117.186485,92117,9,public
Middle College High School,Santa Ana,33.758472,-117.885948,92706,10,public
Carmel Valley Middle School,Encinitas,32.947182,-117.231247,92130,10,public
Pacific Collegiate Charter School,Santa Cruz,36.960552,-122.059776,95060,10,charter
Academy Of The Canyons,Santa Clarita,34.404381,-118.570587,91355,10,public
Ocsa,Santa Ana,33.754066,-117.867599,92701,10,charter
Middle College High School,Lodi,37.995083,-121.31929,95207,10,public
Redwood Academy Of Ukiah,Ukiah,39.164875,-123.210159,95482,10,charter
West Campus,Sacramento,38.529457,-121.44017,95820,10,public
Grapeland Elementary School,Etiwanda,34.12365,-117.522842,91739,10,public
Westview High School,San Diego,32.967026,-117.148354,92129,10,public
Technology High School,Rohnert Park,38.340935,-122.67382,94928,10,public
La Mariposa School,Camarillo,34.234524,-119.007484,93012,10,public
Aspire Benjamin Holt College Preparatory Academy,Lodi,38.037048,-121.274437,95212,10,charter
Hawthorne Math And Science Academy,Hawthorne,33.920345,-118.354141,90250,10,charter
Harbor Teacher Preparation Academy,Los Angeles,33.784309,-118.281837,90744,10,public
Design Science Early College High School,Fresno,36.766922,-119.797905,93704,10,public
Alameda Science And Technology Institute,Alameda,37.780872,-122.279305,94501,10,public
Cerritos High School,Cerritos,33.865402,-118.064575,90703,10,public
Whitney High School,Cerritos,33.878098,-118.054283,90703,10,public
Canyon Crest Academy,Encinitas,32.959076,-117.18943,92130,10,public
West Ranch High School,Santa Clarita,34.403206,-118.596558,91381,10,public
Great Oak High School,Temecula,33.451641,-117.091911,92592,10,public
University Preparatory School,Victorville,34.513405,-117.36087,92392,10,public
International Polytechnic High School,Downey,34.055599,-117.81926,91768,10,public
Natomas Pacific Pathways Prep School,Sacramento,38.655201,-121.546059,95834,10,charter
Preuss School Ucsd,San Diego,32.875469,-117.23912,92093,9,charter
Welby Way Elementary Charter School,Los Angeles,34.19154,-118.638237,91307,9,charter
Westwood Charter Elementary School,Los Angeles,34.047756,-118.430527,90025,9,charter
Wonderland Avenue Elementary School,Los Angeles,34.114044,-118.380028,90046,9,public
Woodland Hills Elementary Charter For Enriched Studies,Los Angeles,34.159027,-118.610474,91364,9,charter
Meadows Arts And Technology Elementary School,Camarillo,34.193333,-118.84127,91362,9,charter
